id,name,cal,fat,carbo,protein,cal2,protein2,fat2,basket
0,고기듬뿍 불고기 백반,586kcal,18.00g,77.00g,29.00g,586 ,29,18,
1,참치마요 삼각김밥,219kcal,7.00g,31.00g,8.00g,219 ,8,7,1
2,동의 훈제란,55kcal,3.30g,0.40g,6.00g,55 ,6,3,
3,삼겹살구이정식,762kcal,30.00g,96.00g,27.00g,762 ,27,30,1
4,숯향가득 삼겹살구이,295kcal,16.00g,9.00g,28.00g,295 ,28,16,
5,소고기 고추장 삼각김밥,184kcal,1.60g,37.00g,6.00g,184 ,6,1,
6,참치가득 유부초밥,488kcal,16.00g,69.00g,17.00g,488 ,17,16,1
7,호유란,59kcal,3.50g,0.78g,6.00g,59 ,6,3,1
8,스팸김치볶음밥 삼각김밥,180kcal,4.40g,30.00g,5.00g,180 ,5,4,
9,8찬 정식,756kcal,24.00g,103.00g,32.00g,756 ,32,24,
10,틈새 오모리 김치찌개 라면,490kcal,20.00g,69.00g,9.00g,490 ,9,20,
11,닭가슴살소세지,110kcal,3.50g,7.00g,15.00g,110 ,15,3,
12,오모리 김치찌개라면,485kcal,20.00g,67.00g,9.00g,485 ,9,20,
13,Belt 샌드위치,357kcal,21.00g,32.00g,10.00g,357 ,10,21,1
14,삼겹구이 도시락,725kcal,19.00g,111.00g,28.00g,725 ,28,19,
15,생선구이 도시락,545kcal,18.00g,70.00g,25.00g,545 ,25,18,
16,묵은지참치김밥,440kcal,12.00g,69.00g,14.00g,440 ,14,12,
17,차슈덮밥,587kcal,20.00g,69.00g,32.00g,587 ,32,20,
18,제육쌈밥 김밥,313kcal,9.00g,51.00g,7.00g,313 ,7,9,
19,직화로 구운 불막창,217kcal,12.79g,15.88g,9.58g,217 ,9,12,
20,백종원 매콤 돈까스정식,1130kcal,54.00g,135.00g,26.00g,1130 ,26,54,
21,파워에이드 프로틴,48kcal,0.00g,2.00g,10.00g,48 ,10,0,1
22,전주비빔 삼각김밥,193kcal,5.00g,33.00g,4.00g,193 ,4,5,1
23,든든하지롱 계란김밥,483kcal,15.00g,73.00g,14.00g,483 ,14,15,
24,믹스커피,60kcal,0.90g,13.00g,0.00g,60 ,0,0,
25,연세우유 우유생크림빵,402kcal,26.00g,36.00g,6.00g,402 ,6,26,
26,어묵반반 김밥,391kcal,7.00g,71.00g,11.00g,391 ,11,7,
27,소불고기덮밥,415kcal,3.00g,85.00g,12.00g,415 ,12,3,
28,백종원의 열탄불고기,179kcal,3.00g,31.00g,7.00g,179 ,7,3,
29,땡초김밥,350kcal,10.00g,53.00g,12.00g,350 ,12,10,
30,아메리카노 블랙,10kcal,0.00g,2.00g,1.00g,10 ,1,0,1
31,계란국,45kcal,2.00g,5.00g,2.00g,45 ,2,2,
32,미미네 국물떡볶이,545kcal,8.50g,99.00g,16.00g,545 ,16,8,
33,언양식불고기,331kcal,5.00g,56.00g,15.00g,331 ,15,5,
34,아삭햄치즈샌드위치,354kcal,18.00g,35.00g,13.00g,354 ,13,18,
35,참치마요,229kcal,9.00g,30.00g,7.00g,229 ,7,9,
36,아이돌 인기 샌드위치,545kcal,27.00g,65.00g,11.00g,545 ,11,27,
37,제육쌈밥김밥,313kcal,9.00g,51.00g,7.00g,313 ,7,9,
38,부드러운 순살 족발,460kcal,20.00g,2.00g,68.00g,460 ,68,20,
39,대만식 고기덮밥,533kcal,16.00g,76.00g,22.00g,533 ,22,16,
40,우삼겹 덮밥,728kcal,28.00g,94.00g,25.00g,728 ,25,28,
41,프리미엄 에그 샌드위치,482kcal,30.00g,36.00g,17.00g,482 ,17,30,
42,카라멜맛 팝콘,144kcal,6.00g,22.00g,2.00g,144 ,2,6,
43,통참치 김밥,435kcal,11.00g,62.00g,22.00g,435 ,22,11,
44,제주 흑돼지 두루치기 정식,804kcal,24.00g,119.00g,28.00g,804 ,28,24,1
45,제육볶음 삼각김밥,163kcal,1.60g,23.00g,14.00g,163 ,14,1,1
46,바나나케이크,334kcal,14.00g,47.00g,5.00g,334 ,5,14,1
47,왕소라형 과자,130kcal,3.50g,22.00g,2.00g,130 ,2,3,1
48,동의 반숙란,64kcal,3.60g,1.00g,7.00g,64 ,7,3,1
49,안동식 찜닭 정식,871kcal,19.00g,127.00g,48.00g,871 ,48,19,1
50,매콤어묵김밥,292kcal,8.00g,49.00g,6.00g,292 ,6,8,1
51,틈새라면,465kcal,15.00g,73.00g,9.00g,465 ,9,15,1
52,버터커피,185kcal,19.00g,1.80g,2.00g,185 ,2,19,1
53,누룽지 반계탕,580kcal,13.00g,66.00g,50.00g,580 ,50,13,
54,크랩샐러드 김밥,327kcal,5.00g,63.00g,8.00g,327 ,8,5,
55,푸딩처럼 부드러운 계란찜,55kcal,2.90g,2.00g,5.00g,55 ,5,2,
56,닭가슴살 소시지,130kcal,7.00g,2.00g,15.00g,130 ,15,7,
